Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Arion lusitanicus,Actinopterygii,Siluriformes,Ariidae,"Citrobacter freundii, Citrobacter gillenii, Escherichia coli, Klebsiella oxytoca, Kluyvera cryocrescens",NA,"Alloionema appendiculatum, Angiostoma dentifera, Buttiauxella izardii, Raoultella ornithinolytica, Raoultella planticola",bacteria/rickettsia,Cargo- carrier,1,5,4,EID2,1,92
Litoria caerulea,Amphibia,Anura,Hylidae,Spirometra erinaceieuropaei,NA,Batrachochytrium dendrobatidis,helminth,Cargo- carrier,1,1,1,EID2,2,200
Lithobates catesbeianus,Amphibia,Anura,Ranidae,"Elizabethkingia meningoseptica, Lactococcus lactis, Streptococcus iniae",NA,"Batrachochytrium dendrobatidis, Frog virus 3, Glypthelmins pennsylvaniensis, Glypthelmins quieta, Gorgodera amplicava, Gyrodactylus jennyae, Haematoloechus breviplexus, Haematoloechus floedae, Haematoloechus longiplexus, Haematoloechus parviplexus, Haematoloechus varioplexus, Trypanosoma rotatorium",bacteria/rickettsia,Cargo- carrier,0,3,11,EID2,1,61
Oribatula tibialis,Arachnida,Sarcoptiformes,Oribatulidae,Cladosporium cladosporioides,NA,Bionectria ochroleuca,fungi,Cargo- carrier,0,1,1,EID2,3,110
Steganacarus magnus,Arachnida,Sarcoptiformes,Phthiracaridae,Aureobasidium pullulans,NA,Absidia glauca,fungi,Cargo- carrier,0,1,1,EID2,1,20
Accipiter cooperii,Aves,Accipitriformes,Accipitridae,West nile,NA,"Columbid herpesvirus 1, Haemoproteus elani, Leucocytozoon toddi",virus,Cargo- carrier,1,1,3,EID2,1,300
Accipiter gentilis,Aves,Accipitriformes,Accipitridae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,1,124
Accipiter gularis,Aves,Accipitriformes,Accipitridae,Newcastle disease,NA,,virus,Cargo- carrier,1,1,0,EID2,3,82
Accipiter trivirgatus,Aves,Accipitriformes,Accipitridae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,76
Buteo buteo,Aves,Accipitriformes,Accipitridae,Influenza a,NA,"Leucocytozoon toddi, Trypanosoma avium",virus,Cargo- carrier,1,1,2,EID2,7,841
Buteo jamaicensis,Aves,Accipitriformes,Accipitridae,West nile,NA,"Haemoproteus elani, Highlands j, Leucocytozoon toddi",virus,Cargo- carrier,1,1,2,EID2,4,428
Buteo lagopus,Aves,Accipitriformes,Accipitridae,Newcastle disease,NA,,virus,Cargo- carrier,1,1,0,EID2,1,21
Buteo lineatus,Aves,Accipitriformes,Accipitridae,West nile,NA,Leucocytozoon toddi,virus,Cargo- carrier,1,1,1,EID2,1,300
Milvus migrans,Aves,Accipitriformes,Accipitridae,Influenza a,NA,Fowl adenovirus c,virus,Cargo- carrier,1,1,0,EID2,7,596
Pandion haliaetus,Aves,Accipitriformes,Pandionidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,85
Aix sponsa,Aves,Anseriformes,Anatidae,"Influenza a, Newcastle disease",NA,,virus,Cargo- carrier,1,2,0,EID2,1,300
Alopochen aegyptiaca,Aves,Anseriformes,Anatidae,Influenza a,NA,Avian paramyxovirus 4,virus,Cargo- carrier,1,1,0,EID2,4,757
Anas capensis,Aves,Anseriformes,Anatidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,39
Anas querquedula,Aves,Anseriformes,Anatidae,"Influenza a, West nile",NA,Schistogonimus rarus,virus,Cargo- carrier,1,2,1,EID2,1,42
Anas superciliosa,Aves,Anseriformes,Anatidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,183
Dendrocygna viduata,Aves,Anseriformes,Anatidae,Influenza a,NA,Avian metapneumovirus,virus,Cargo- carrier,1,1,0,EID2,1,360
Netta peposaca,Aves,Anseriformes,Anatidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,360
Upupa epops,Aves,Bucerotiformes,Upupidae,Enterococcus casseliflavus,NA,,bacteria/rickettsia,Cargo- carrier,0,1,0,EID2,7,391
Podargus strigoides,Aves,Caprimulgiformes,Podargidae,Cryptosporidium muris,NA,,protozoa,Cargo- carrier,1,1,0,EID2,3,232
Dromaius novaehollandiae,Aves,Casuariiformes,Dromaiidae,"Influenza a, Newcastle disease",NA,"Raillietina australis, Raillietina beveridgei, Raillietina chiltoni, Raillietina dromaius, Raillietina mitchelli",virus,Cargo- carrier,1,2,5,EID2,2,61
Burhinus oedicnemus,Aves,Charadriiformes,Burhinidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,237
Chroicocephalus ridibundus,Aves,Charadriiformes,Laridae,"Diphyllobothrium dendriticum, Influenza a, Newcastle disease",NA,"Avian coronavirus, Cardiocephaloides longicollis","helminth, virus",Cargo- carrier,1,3,1,EID2,1,42
Larus delawarensis,Aves,Charadriiformes,Laridae,"Escherichia coli, Influenza a",NA,"Austrobilharzia variglandis, Diplostomum huronense, Ornithobilharzia canaliculata","bacteria/rickettsia, virus",Cargo- carrier,1,2,3,EID2,1,300
Larus dominicanus,Aves,Charadriiformes,Laridae,"Cryptosporidium parvum, Influenza a",NA,,"protozoa, virus",Cargo- carrier,1,2,0,EID2,1,6
Limosa limosa,Aves,Charadriiformes,Scolopacidae,Borrelia garinii,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,49
Tringa totanus,Aves,Charadriiformes,Scolopacidae,Borrelia garinii,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,49
Ciconia ciconia,Aves,Ciconiiformes,Ciconiidae,"Escherichia coli, Influenza a, Rhizopus oryzae",NA,Heron hepatitis b,"bacteria/rickettsia, virus, fungi",Cargo- carrier,1,3,1,EID2,3,321
Geotrygon montana,Aves,Columbiformes,Columbidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,10,163
Streptopelia orientalis,Aves,Columbiformes,Columbidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,7,216
Zenaida macroura,Aves,Columbiformes,Columbidae,"Eastern equine encephalitis, Newcastle disease, St. louis encephalitis, West nile",NA,Plasmodium relictum,virus,Cargo- carrier,1,4,1,EID2,1,300
Piaya minuta,Aves,Cuculiformes,Cuculidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,150
Falco naumanni,Aves,Falconiformes,Falconidae,"Escherichia coli, Influenza a",NA,,"bacteria/rickettsia, virus",Cargo- carrier,1,2,0,EID2,1,39
Falco peregrinus,Aves,Falconiformes,Falconidae,Influenza a,NA,"Falcon adenovirus a, Mycoplasma buteonis",virus,Cargo- carrier,1,1,2,EID2,2,250
Falco sparverius,Aves,Falconiformes,Falconidae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,6,799
Falco tinnunculus,Aves,Falconiformes,Falconidae,"Influenza a, Taenia taeniaeformis",NA,"Trichomonas gallinae, Trypanosoma avium","virus, helminth",Cargo- carrier,1,2,1,EID2,3,90
Alectoris chukar,Aves,Galliformes,Phasianidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,52
Bonasa umbellus,Aves,Galliformes,Phasianidae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,1,300
Lophura leucomelanos,Aves,Galliformes,Phasianidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,8
Lophura nycthemera,Aves,Galliformes,Phasianidae,Hepatitis e,NA,Fowlpox,virus,Cargo- carrier,1,1,0,EID2,2,50
Perdix perdix,Aves,Galliformes,Phasianidae,Anaplasma phagocytophilum,NA,Fowlpox,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,42
Fulica atra,Aves,Gruiformes,Rallidae,"Cryptosporidium parvum, Influenza a",NA,,"protozoa, virus",Cargo- carrier,1,2,0,EID2,1,42
Gallicrex cinerea,Aves,Gruiformes,Rallidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,3
Bombycilla cedrorum,Aves,Passeriformes,Bombycillidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,4,582
Passerina cyanea,Aves,Passeriformes,Cardinalidae,Eastern equine encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,4,601
Saltator maximus,Aves,Passeriformes,Cardinalidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,8,276
Conopophaga aurita,Aves,Passeriformes,Conopophagidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,3,53
Coloeus monedula,Aves,Passeriformes,Corvidae,"Borna disease, Brachyspira pilosicoli, Influenza a",NA,,"virus, bacteria/rickettsia",Cargo- carrier,1,3,0,EID2,2,248
Corvus brachyrhynchos,Aves,Passeriformes,Corvidae,"Eastern equine encephalitis, West nile",NA,,virus,Cargo- carrier,1,2,0,EID2,1,300
Corvus cornix,Aves,Passeriformes,Corvidae,"Chlamydia psittaci, West nile",NA,"Fowlpox, Sarcocystis cornixi","bacteria/rickettsia, virus",Cargo- carrier,1,2,1,EID2,1,42
Corvus corone,Aves,Passeriformes,Corvidae,West nile,NA,"Avibacterium endocarditidis, Brachylecithum lobatum, Haemoproteus danilewskyii, Plasmodium relictum",virus,Cargo- carrier,1,1,3,EID2,2,232
Corvus frugilegus,Aves,Passeriformes,Corvidae,"Influenza a, West nile",NA,"Trypanosoma avium, Trypanosoma corvi",virus,Cargo- carrier,1,2,2,EID2,1,42
Corvus splendens,Aves,Passeriformes,Corvidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,6,182
Cyanocitta cristata,Aves,Passeriformes,Corvidae,"Eastern equine encephalitis, West nile",NA,"Canarypox, Highlands j",virus,Cargo- carrier,1,2,0,EID2,2,315
Cyanopica cyanus,Aves,Passeriformes,Corvidae,"Escherichia albertii, Escherichia coli",NA,,bacteria/rickettsia,Cargo- carrier,1,2,0,EID2,1,48
Garrulus glandarius,Aves,Passeriformes,Corvidae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,10,524
Pica pica,Aves,Passeriformes,Corvidae,"Influenza a, West nile",NA,"Prosthogonimus ovatus, Sarcocystis ovalis",virus,Cargo- carrier,1,2,1,EID2,2,248
Querula purpurata,Aves,Passeriformes,Cotingidae,Mycobacterium avium,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,3
Emberiza cioides,Aves,Passeriformes,Emberizidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,4,84
Melospiza melodia,Aves,Passeriformes,Emberizidae,"Eastern equine encephalitis, Influenza a",NA,,virus,Cargo- carrier,1,2,0,EID2,2,315
Passerella iliaca,Aves,Passeriformes,Emberizidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,60
Lonchura striata,Aves,Passeriformes,Estrildidae,Influenza a,NA,Avian coronavirus,virus,Cargo- carrier,1,1,0,EID2,7,163
Poephila personata,Aves,Passeriformes,Estrildidae,Ross river,NA,,virus,Cargo- carrier,1,1,0,EID2,1,171
Taeniopygia guttata,Aves,Passeriformes,Estrildidae,"Bacillus licheniformis, Enterobacter cloacae, Mycobacterium genavense, Staphylococcus aureus",NA,Rothia nasimurium,bacteria/rickettsia,Cargo- carrier,1,4,1,EID2,2,61
Carduelis carduelis,Aves,Passeriformes,Fringillidae,Mycobacterium genavense,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,7,355
Chloris chloris,Aves,Passeriformes,Fringillidae,Mycobacterium genavense,NA,Plasmodium relictum,bacteria/rickettsia,Cargo- carrier,1,1,1,EID2,7,375
Haemorhous mexicanus,Aves,Passeriformes,Fringillidae,West nile,NA,"Bacillus sonorensis, Mycoplasma gallisepticum, Plasmodium relictum",virus,Cargo- carrier,1,1,2,EID2,2,302
Hirundo rustica,Aves,Passeriformes,Hirundinidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,10,733
Agelaius phoeniceus,Aves,Passeriformes,Icteridae,West nile,NA,Gigantobilharzia huronensis,virus,Cargo- carrier,1,1,1,EID2,1,300
Molothrus ater,Aves,Passeriformes,Icteridae,West nile,NA,"Sarcocystis falcatula, Sarcocystis neurona",virus,Cargo- carrier,1,1,1,EID2,3,522
Quiscalus quiscula,Aves,Passeriformes,Icteridae,"Eastern equine encephalitis, St. louis encephalitis, West nile",NA,Chandlerella quiscali,virus,Cargo- carrier,1,3,1,EID2,1,300
Lanius schach,Aves,Passeriformes,Laniidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,4,148
Leiothrix argentauris,Aves,Passeriformes,Leiothrichidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,6
Leiothrix lutea,Aves,Passeriformes,Leiothrichidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,44
Mimus polyglottos,Aves,Passeriformes,Mimidae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,1,40
Grallina cyanoleuca,Aves,Passeriformes,Monarchidae,Ross river,NA,,virus,Cargo- carrier,1,1,0,EID2,4,235
Anthus campestris,Aves,Passeriformes,Motacillidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,42
Motacilla alba,Aves,Passeriformes,Motacillidae,Sindbis,NA,,virus,Cargo- carrier,1,1,0,EID2,5,155
Parus major,Aves,Passeriformes,Paridae,Usutu,NA,"Fowlpox, Plasmodium polare",virus,Cargo- carrier,1,1,1,EID2,14,605
Poecile montanus,Aves,Passeriformes,Paridae,Mycobacterium avium,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,5,196
Geothlypis tolmiei,Aves,Passeriformes,Parulidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,79
Icteria virens,Aves,Passeriformes,Parulidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,379
Parkesia noveboracensis,Aves,Passeriformes,Parulidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,79
Passer domesticus,Aves,Passeriformes,Passeridae,"Influenza a, St. louis encephalitis, Toxoplasma gondii, West nile, Western equine encephalitis",NA,"Fort morgan, Fowlpox, Haemoproteus passeris, Leucocytozoon gentili, Neospora caninum, Plasmodium relictum","virus, protozoa",Cargo- carrier,1,5,4,"EID2, Plourde",11,1100
Passer montanus,Aves,Passeriformes,Passeridae,"Escherichia albertii, Escherichia coli, Influenza a",NA,,"bacteria/rickettsia, virus",Cargo- carrier,1,3,0,EID2,7,370
Microeca fascinans,Aves,Passeriformes,Petroicidae,Ross river,NA,,virus,Cargo- carrier,1,1,0,EID2,3,232
Hypsipetes amaurotis,Aves,Passeriformes,Pycnonotidae,"Escherichia albertii, Escherichia coli",NA,,bacteria/rickettsia,Cargo- carrier,1,2,0,EID2,3,42
Regulus satrapa,Aves,Passeriformes,Regulidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,60
Rhipidura fuliginosa,Aves,Passeriformes,Rhipiduridae,Escherichia albertii,NA,,bacteria/rickettsia,Cargo- carrier,0,1,0,EID2,4,220
Spodiopsar cineraceus,Aves,Passeriformes,Sturnidae,"Escherichia albertii, Escherichia coli",NA,,bacteria/rickettsia,Cargo- carrier,1,2,0,EID2,1,42
Spodiopsar sericeus,Aves,Passeriformes,Sturnidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,42
Sturnus vulgaris,Aves,Passeriformes,Sturnidae,"Influenza a, Japanese encephalitis, Mycobacterium avium",NA,"Mycoplasma sturni, Prosthogonimus cuneatus","virus, bacteria/rickettsia",Cargo- carrier,1,3,2,EID2,6,434
Hypocnemis cantator,Aves,Passeriformes,Thamnophilidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,6,91
Isleria hauxwelli,Aves,Passeriformes,Thamnophilidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,2,62
Willisornis poecilinotus,Aves,Passeriformes,Thamnophilidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,6,91
Diuca diuca,Aves,Passeriformes,Thraupidae,Chlamydia psittaci,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,56
Catharus fuscescens,Aves,Passeriformes,Turdidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,4,537
Catharus guttatus,Aves,Passeriformes,Turdidae,Influenza a,NA,Leucocytozoon dubreuili,virus,Cargo- carrier,1,1,1,EID2,4,297
Catharus ustulatus,Aves,Passeriformes,Turdidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,5,175
Sialia sialis,Aves,Passeriformes,Turdidae,"Aeromonas veronii, Ewingella americana, Lactobacillus gasseri, Pseudomonas fluorescens, Stenotrophomonas maltophilia, Streptococcus salivarius, Streptococcus vestibularis",NA,"Acinetobacter venetianus, Albidiferax ferrireducens, Janthinobacterium lividum, Pseudomonas brenneri, Pseudomonas fragi, Pseudomonas lundensis, Pseudomonas poae",bacteria/rickettsia,Cargo- carrier,1,7,7,EID2,2,379
Turdus amaurochalinus,Aves,Passeriformes,Turdidae,Chlamydia psittaci,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,5,372
Turdus merula,Aves,Passeriformes,Turdidae,"Achromobacter xylosoxidans, Borrelia garinii, Japanese encephalitis, Newcastle disease, Usutu, West nile",NA,"Dilepis undula, Haemoproteus minutus, Leucochloridium perturbatum, Plasmodium elongatum, Plasmodium rouxi","bacteria/rickettsia, virus",Cargo- carrier,1,6,5,"EID2, Plourde",10,449
Turdus migratorius,Aves,Passeriformes,Turdidae,"Influenza a, West nile",NA,Brachylecithum mosquensis,virus,Cargo- carrier,1,2,1,EID2,5,597
Turdus philomelos,Aves,Passeriformes,Turdidae,Borrelia garinii,NA,"Dilepis undula, Fowlpox",bacteria/rickettsia,Cargo- carrier,1,1,1,"EID2, Plourde",6,157
Contopus sordidulus,Aves,Passeriformes,Tyrannidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,67
Empidonax alnorum,Aves,Passeriformes,Tyrannidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,315
Myiobius barbatus,Aves,Passeriformes,Tyrannidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,7,162
Vireo griseus,Aves,Passeriformes,Vireonidae,Eastern equine encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,1,79
Vireo olivaceus,Aves,Passeriformes,Vireonidae,Eastern equine encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,15,1162
Zosterops japonicus,Aves,Passeriformes,Zosteropidae,"Escherichia coli, Influenza a",NA,,"bacteria/rickettsia, virus",Cargo- carrier,1,2,0,EID2,6,88
Zosterops lateralis,Aves,Passeriformes,Zosteropidae,Pseudomonas putida,NA,Plasmodium elongatum,bacteria/rickettsia,Cargo- carrier,0,1,1,EID2,3,78
Ardea alba,Aves,Pelecaniformes,Ardeidae,Influenza a,NA,Southwellina hispida,virus,Cargo- carrier,1,1,1,EID2,5,524
Ardea cinerea,Aves,Pelecaniformes,Ardeidae,"Bilharziella polonica, Influenza a",NA,"Apharyngostrigea cornu, Avian coronavirus, Clinostomum phalacrocoracis","helminth, virus",Cargo- carrier,1,2,2,EID2,3,155
Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,13,1930
Butorides virescens,Aves,Pelecaniformes,Ardeidae,"Influenza a, St. louis encephalitis, West nile",NA,Southwellina hispida,virus,Cargo- carrier,1,3,1,EID2,4,486
Egretta garzetta,Aves,Pelecaniformes,Ardeidae,"Escherichia albertii, Japanese encephalitis",NA,Southwellina hispida,"bacteria/rickettsia, virus",Cargo- carrier,1,2,1,"EID2, Plourde",5,308
Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,Japanese encephalitis,NA,"Apharyngostrigea pipientis, Southwellina hispida",virus,Cargo- carrier,1,1,2,"EID2, Plourde",1,3
Threskiornis aethiopicus,Aves,Pelecaniformes,Threskiornithidae,Newcastle disease,NA,,virus,Cargo- carrier,1,1,0,EID2,3,701
Colaptes auratus,Aves,Piciformes,Picidae,"St. louis encephalitis, West nile",NA,,virus,Cargo- carrier,1,2,0,EID2,3,439
Dendrocopos major,Aves,Piciformes,Picidae,Newcastle disease,NA,,virus,Cargo- carrier,1,1,0,EID2,7,482
Picoides pubescens,Aves,Piciformes,Picidae,Borrelia garinii,NA,Haemoproteus picae,bacteria/rickettsia,Cargo- carrier,1,1,1,EID2,1,300
Cacatua alba,Aves,Psittaciformes,Cacatuidae,"Borna disease, Encephalitozoon hellem",NA,Beak and feather disease,"virus, fungi",Cargo- carrier,1,2,0,EID2,1,3
Amazona aestiva,Aves,Psittaciformes,Psittacidae,"Borna disease, Chlamydia psittaci",NA,"Beak and feather disease, Psittacid herpesvirus 1","virus, bacteria/rickettsia",Cargo- carrier,1,2,1,EID2,2,7
Amazona farinosa,Aves,Psittaciformes,Psittacidae,Mycobacterium genavense,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,3,27
Ara ararauna,Aves,Psittaciformes,Psittacidae,Borna disease,NA,Beak and feather disease,virus,Cargo- carrier,1,1,0,EID2,3,55
Ara chloropterus,Aves,Psittaciformes,Psittacidae,Borna disease,NA,Beak and feather disease,virus,Cargo- carrier,1,1,0,EID2,2,15
Aratinga acuticaudata,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,Budgerigar fledgling disease polyomavirus,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,3
Aratinga pertinax,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,3,21
Deroptyus accipitrinus,Aves,Psittaciformes,Psittacidae,Borna disease,NA,,virus,Cargo- carrier,1,1,0,EID2,2,15
Eclectus roratus,Aves,Psittaciformes,Psittacidae,"Borna disease, Encephalitozoon hellem",NA,"Beak and feather disease, Budgerigar fledgling disease polyomavirus","virus, fungi",Cargo- carrier,1,2,0,EID2,3,20
Eolophus roseicapilla,Aves,Psittaciformes,Psittacidae,Borna disease,NA,Beak and feather disease,virus,Cargo- carrier,1,1,0,EID2,3,232
Lorius lory,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,3,20
Pionites melanocephalus,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,3,27
Pionus fuscus,Aves,Psittaciformes,Psittacidae,Borna disease,NA,,virus,Cargo- carrier,1,1,0,EID2,3,27
Pionus maximiliani,Aves,Psittaciformes,Psittacidae,Borna disease,NA,,virus,Cargo- carrier,1,1,0,EID2,3,9
Pionus menstruus,Aves,Psittaciformes,Psittacidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,4,94
Poicephalus gulielmi,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,Beak and feather disease,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,16
Poicephalus meyeri,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,Beak and feather disease,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,662
Primolius auricollis,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,Budgerigar fledgling disease polyomavirus,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,4
Probosciger aterrimus,Aves,Psittaciformes,Psittacidae,Borna disease,NA,Beak and feather disease,virus,Cargo- carrier,1,1,0,EID2,3,20
Psittacula krameri,Aves,Psittaciformes,Psittacidae,Cryptosporidium meleagridis,NA,"Beak and feather disease, Psittacid herpesvirus 1",protozoa,Cargo- carrier,1,1,1,EID2,3,66
Psittacus erithacus,Aves,Psittaciformes,Psittacidae,"Borna disease, Chlamydia psittaci",NA,"Beak and feather disease, Fowl adenovirus c, Psittacus erithacus timneh papillomavirus, Volucribacter amazonae, Volucribacter psittacicida","virus, bacteria/rickettsia",Cargo- carrier,1,2,2,EID2,3,114
Trichoglossus haematodus,Aves,Psittaciformes,Psittacidae,Chlamydia psittaci,NA,"Beak and feather disease, Psittacid herpesvirus 1",bacteria/rickettsia,Cargo- carrier,1,1,1,EID2,7,255
Rhea americana,Aves,Rheiformes,Rheidae,Entamoeba polecki,NA,,protozoa,Cargo- carrier,1,1,0,EID2,1,5
Asio otus,Aves,Strigiformes,Strigidae,"Escherichia coli, Newcastle disease",NA,,"bacteria/rickettsia, virus",Cargo- carrier,1,2,0,EID2,2,318
Athene noctua,Aves,Strigiformes,Strigidae,"Escherichia coli, West nile",NA,,"bacteria/rickettsia, virus",Cargo- carrier,1,2,0,EID2,2,318
Otus scops,Aves,Strigiformes,Strigidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,318
Helix pomatia,Gastropoda,Stylommatophora,Helicidae,"Citrobacter gillenii, Enterobacter amnigenus, Enterococcus raffinosus, Lactococcus lactis",NA,"Buttiauxella agrestis, Cryptobia helicis, Enterococcus malodoratus, Kluyvera intermedia, Obesumbacterium proteus",bacteria/rickettsia,Cargo- carrier,1,4,5,EID2,1,34
Macrotermes michaelseni,Insecta,Blattodea,Termitidae,"Enterobacter aerogenes, Stenotrophomonas maltophilia",NA,Rhodococcus opacus,bacteria/rickettsia,Cargo- carrier,1,2,1,EID2,1,10
Harmonia axyridis,Insecta,Coleoptera,Coccinellidae,"Bacillus subtilis, Bacillus thuringiensis, Staphylococcus sciuri",NA,Hesperomyces virescens,bacteria/rickettsia,Cargo- carrier,1,3,1,EID2,1,8
Dendroctonus rufipennis,Insecta,Coleoptera,Curculionidae,"Aspergillus fumigatus, Beauveria bassiana, Micrococcus luteus, Staphylococcus hominis",NA,"Aspergillus nomius, Bionectria ochroleuca, Bursaphelenchus rufipennis, Candida ernobii, Ektaphelenchus obtusus, Geomyces pannorum, Gloeotinia temulenta, Hypocrea lixii, Leptographium abietinum, Pichia canadensis","fungi, bacteria/rickettsia",Cargo- carrier,1,4,10,EID2,1,80
Dryocoetes autographus,Insecta,Coleoptera,Curculionidae,"Beauveria bassiana, Cordyceps bassiana",NA,"Diplodia pinea, Grosmannia cucullata, Leptographium truncatum, Ophiostoma ips, Ophiostoma minus, Sphaeropsis sapinea",fungi,Cargo- carrier,0,2,6,EID2,3,187
Hylurgus ligniperda,Insecta,Coleoptera,Curculionidae,"Beauveria bassiana, Cordyceps bassiana, Fusarium verticillioides, Gibberella moniliformis",NA,Isaria farinosa,fungi,Cargo- carrier,0,4,1,EID2,1,5
Ips pini,Insecta,Coleoptera,Curculionidae,Meyerozyma guilliermondii,NA,"Aspergillus nomius, Bionectria ochroleuca, Candida fructus, Rhodotorula hylophila",fungi,Cargo- carrier,0,1,4,EID2,1,80
Orthotomicus erosus,Insecta,Coleoptera,Curculionidae,"Fusarium subglutinans, Fusarium verticillioides, Gibberella moniliformis",NA,"Fusarium culmorum, Fusarium lateritium, Leptographium wingfieldii, Ophiostoma floccosum, Ophiostoma ips, Ophiostoma piceae, Ophiostoma pluriannulatum",fungi,Cargo- carrier,0,3,7,EID2,1,5
Sitona discoideus,Insecta,Coleoptera,Curculionidae,Cordyceps bassiana,NA,,fungi,Cargo- carrier,0,1,0,EID2,2,160
